Run	actual_sex	actual_sex_zw	SCiMS sample ID	Rx	Ry
S445M400	male	female	S445M400	0.3064	0
S445M450	male	female	S445M450	0.2576	0.6817
S445M1000	male	female	S445M1000	0.5744	0.1704
S445M5000	male	female	S445M5000	0.4103	0.6015
S445M10000	male	female	S445M10000	0.4082	0.5453
S445M100000	male	female	S445M100000	0.4128	0.5236
S445M1000000	male	female	S445M1000000	0.4194	0.4825
S446F150	female	male	S446F150	0.2526	0
S446F200	female	male	S446F200	0.741	0
S446F250	female	male	S446F250	0.1978	0
S446F300	female	male	S446F300	0.4934	0
S446F350	female	male	S446F350	1.114	0
S446F400	female	male	S446F400	1.1632	0
S446F450	female	male	S446F450	0.3958	0
S446F1000	female	male	S446F1000	0.9068	0
S446F5000	female	male	S446F5000	0.9782	0
S446F10000	female	male	S446F10000	0.7498	0.0162
S446F100000	female	male	S446F100000	0.8522	0.0101
S446F1000000	female	male	S446F1000000	0.8447	0.0141
S446M150	male	female	S446M150	0.538	0
S446M200	male	female	S446M200	0.3969	0.9089
S446M250	male	female	S446M250	1.23	0
S446M300	male	female	S446M300	0.2432	0
S446M350	male	female	S446M350	0.1038	1.3633
S446M400	male	female	S446M400	0.7053	0
S446M450	male	female	S446M450	0.362	0
S446M1000	male	female	S446M1000	0.1492	1.1686
S446M5000	male	female	S446M5000	0.4106	0.3576
S446M10000	male	female	S446M10000	0.4242	0.5125
S446M100000	male	female	S446M100000	0.4113	0.5269
S446M1000000	male	female	S446M1000000	0.4196	0.4726
S447F150	female	male	S447F150	0.8719	0
S447F200	female	male	S447F200	0.7134	0
S447F250	female	male	S447F250	0.7999	0
S447F300	female	male	S447F300	1.0153	0
S447F350	female	male	S447F350	1.6624	0
S447F400	female	male	S447F400	0.9599	0
S447F450	female	male	S447F450	0.6148	0
S447F1000	female	male	S447F1000	1.0264	0
S447F5000	female	male	S447F5000	0.7823	0
S447F10000	female	male	S447F10000	0.8738	0
S447F100000	female	male	S447F100000	0.8423	0.0145
S447F1000000	female	male	S447F1000000	0.8462	0.0144
S447M150	male	female	S447M150	0.8307	0.6817
S447M200	male	female	S447M200	0.2109	0
S447M250	male	female	S447M250	0.3219	0
S447M300	male	female	S447M300	0.2437	0.9089
S447M350	male	female	S447M350	0.7333	0
S447M400	male	female	S447M400	0.5147	0.7791
S447M450	male	female	S447M450	0.1635	1.3633
S447M1000	male	female	S447M1000	0.3003	0.303
S447M5000	male	female	S447M5000	0.4904	0.6213
S447M10000	male	female	S447M10000	0.4164	0.6125
S447M100000	male	female	S447M100000	0.4368	0.3692
S447M1000000	male	female	S447M1000000	0.4193	0.4834
S448F150	female	male	S448F150	0.511	0
S448F250	female	male	S448F250	1.4723	0
S448F300	female	male	S448F300	0.9765	0
S448F350	female	male	S448F350	0.3525	0
S448F400	female	male	S448F400	0.8915	0
S448F450	female	male	S448F450	0.6449	0
S448F1000	female	male	S448F1000	1.0695	0
S448F5000	female	male	S448F5000	0.7924	0
S448F10000	female	male	S448F10000	0.7788	0.0157
S448F100000	female	male	S448F100000	0.8463	0.0072
S448F1000000	female	male	S448F1000000	0.842	0.0124
S448M150	male	female	S448M150	0.2519	0
S448M200	male	female	S448M200	0.1884	1.8178
S448M250	male	female	S448M250	0.4581	1.0907
S448M300	male	female	S448M300	0.5449	0.5453
S448M350	male	female	S448M350	0.3345	0.6817
S448M400	male	female	S448M400	0.0982	0
S448M450	male	female	S448M450	0.4504	0.4544
S448M1000	male	female	S448M1000	0.4313	0.2272
S448M5000	male	female	S448M5000	0.406	0.5034
S448M10000	male	female	S448M10000	0.4244	0.4579
S448M100000	male	female	S448M100000	0.4235	0.5388
S448M1000000	male	female	S448M1000000	0.4158	0.4797
S449F150	female	male	S449F150	0.4972	0
S449F200	female	male	S449F200	0.7739	0.6817
S449F250	female	male	S449F250	0.7538	0
S449F300	female	male	S449F300	1.0692	0
S449F350	female	male	S449F350	1.0299	0
S449F400	female	male	S449F400	0.9593	0
S449F450	female	male	S449F450	1.114	0
S449F1000	female	male	S449F1000	1.1003	0
S449F5000	female	male	S449F5000	0.8636	0.0284
S449F10000	female	male	S449F10000	0.8793	0
S449F100000	female	male	S449F100000	0.8529	0.0129
S449F1000000	female	male	S449F1000000	0.842	0.0122
S449M150	male	female	S449M150	0.2522	0
S449M200	male	female	S449M200	0.3837	0.9089
S449M250	male	female	S449M250	0.1503	0
S449M300	male	female	S449M300	0.3807	0
S449M350	male	female	S449M350	0.2006	0.9089
S449M400	male	female	S449M400	0.4204	0
S449M450	male	female	S449M450	0.4495	0
S449M1000	male	female	S449M1000	0.4292	0
S449M5000	male	female	S449M5000	0.3621	0.4462
S449M10000	male	female	S449M10000	0.3678	0.6084
S449M100000	male	female	S449M100000	0.4155	0.494
S449M1000000	male	female	S449M1000000	0.4208	0.4797
S450F150	female	male	S450F150	0.3112	0
S450F200	female	male	S450F200	0.4365	0
S450F250	female	male	S450F250	1.1589	0
S450F300	female	male	S450F300	0.2885	0
S450F350	female	male	S450F350	1.2471	0
S450F400	female	male	S450F400	0.8696	0
S450F450	female	male	S450F450	0.5852	0
S450F1000	female	male	S450F1000	0.9955	0
S450F5000	female	male	S450F5000	1.0161	0.0241
S450F10000	female	male	S450F10000	0.8962	0.0136
S450F100000	female	male	S450F100000	0.8436	0.0116
S450F1000000	female	male	S450F1000000	0.8518	0.0138
S450M150	male	female	S450M150	0	2.7267
S450M200	male	female	S450M200	0.1725	0
S450M300	male	female	S450M300	0.7266	0
S450M350	male	female	S450M350	0.2324	1.3633
S450M400	male	female	S450M400	0.2863	0
S450M450	male	female	S450M450	0.4388	0.4544
S450M1000	male	female	S450M1000	0.4304	0.9089
S450M5000	male	female	S450M5000	0.4931	0.3456
S450M10000	male	female	S450M10000	0.4409	0.494
S450M100000	male	female	S450M100000	0.3993	0.5705
S450M1000000	male	female	S450M1000000	0.4171	0.4827
S451F150	female	male	S451F150	2.4944	0
S451F200	female	male	S451F200	2.0467	0
S451F250	female	male	S451F250	0.557	0
S451F300	female	male	S451F300	0.6315	0
S451F350	female	male	S451F350	0.7856	0
S451F400	female	male	S451F400	0.589	0
S451F450	female	male	S451F450	1.242	0
S451F1000	female	male	S451F1000	1.2562	0.1049
S451F5000	female	male	S451F5000	0.7999	0
S451F10000	female	male	S451F10000	0.7854	0
S451F100000	female	male	S451F100000	0.8635	0.0128
S451F1000000	female	male	S451F1000000	0.8473	0.0132
S451M150	male	female	S451M150	0.9455	0
S451M200	male	female	S451M200	0.6767	0
S451M250	male	female	S451M250	0.4619	0
S451M300	male	female	S451M300	0.6852	0
S451M350	male	female	S451M350	0.3251	1.0907
S451M400	male	female	S451M400	0.0916	2.045
S451M450	male	female	S451M450	0.0869	1.3633
S451M1000	male	female	S451M1000	0.5311	0.3636
S451M5000	male	female	S451M5000	0.4553	0.4285
S451M10000	male	female	S451M10000	0.3627	0.4869
S451M100000	male	female	S451M100000	0.4128	0.4855
S451M1000000	male	female	S451M1000000	0.4194	0.4835
S452F150	female	male	S452F150	1.4093	0
S452F200	female	male	S452F200	0.7438	0
S452F250	female	male	S452F250	0.7598	0
S452F300	female	male	S452F300	1.6643	0
S452F350	female	male	S452F350	1.3657	0
S452F400	female	male	S452F400	0.66	0
S452F450	female	male	S452F450	1.0611	0
S452F1000	female	male	S452F1000	0.8468	0
S452F5000	female	male	S452F5000	0.8745	0.0818
S452F10000	female	male	S452F10000	0.9103	0.0397
S452F100000	female	male	S452F100000	0.8143	0.0194
S452F1000000	female	male	S452F1000000	0.84	0.0139
S452M150	male	female	S452M150	0.2377	0
S452M200	male	female	S452M200	0.4179	0
S452M250	male	female	S452M250	0.3159	0
S452M300	male	female	S452M300	0.2445	0
S452M350	male	female	S452M350	0.2238	0.9089
S452M400	male	female	S452M400	0.2112	0
S452M450	male	female	S452M450	0.5718	0.3895
S452M1000	male	female	S452M1000	0.2872	0.3408
S452M5000	male	female	S452M5000	0.4333	0.8145
S452M10000	male	female	S452M10000	0.4175	0.5577
S452M100000	male	female	S452M100000	0.4213	0.5033
S452M1000000	male	female	S452M1000000	0.4155	0.4855
