Run	actual_sex	actual_sex_zw	SCiMS sample ID	Rx	Ry
S1F200	female	male	S1F200	0.2366	0
S1F250	female	male	S1F250	0.569	0
S1F300	female	male	S1F300	0.6234	0
S1F350	female	male	S1F350	1.0226	0
S1F400	female	male	S1F400	0.9197	0
S1F450	female	male	S1F450	0.4733	0
S1F1000	female	male	S1F1000	0.6171	0
S1F5000	female	male	S1F5000	0.9412	0.0505
S1F10000	female	male	S1F10000	0.922	0.0134
S1F100000	female	male	S1F100000	0.8233	0.0089
S1F1000000	female	male	S1F1000000	0.8462	0.0134
S1M150	male	female	S1M150	0.731	0
S1M200	male	female	S1M200	1.2297	0
S1M250	male	female	S1M250	0.1343	0
S1M300	male	female	S1M300	0.2534	0
S1M350	male	female	S1M350	0.577	0.4544
S1M400	male	female	S1M400	0.0979	1.3633
S1M450	male	female	S1M450	0.7655	0
S1M1000	male	female	S1M1000	0.1947	1.2119
S1M5000	male	female	S1M5000	0.4783	0.4166
S1M10000	male	female	S1M10000	0.4671	0.5042
S1M100000	male	female	S1M100000	0.4227	0.4366
S1M1000000	male	female	S1M1000000	0.4159	0.4877
S2F150	female	male	S2F150	1.0639	0
S2F200	female	male	S2F200	0.9411	0
S2F250	female	male	S2F250	1.5283	0
S2F300	female	male	S2F300	0.5132	0
S2F350	female	male	S2F350	0.8745	0
S2F400	female	male	S2F400	0.9342	0
S2F450	female	male	S2F450	0.5139	0
S2F1000	female	male	S2F1000	0.8358	0.1298
S2F5000	female	male	S2F5000	1.0104	0
S2F10000	female	male	S2F10000	0.8004	0
S2F100000	female	male	S2F100000	0.8587	0.0114
S2F1000000	female	male	S2F1000000	0.8433	0.0158
S2M200	male	female	S2M200	0	2.7267
S2M250	male	female	S2M250	0.3277	0
S2M300	male	female	S2M300	0.3554	0.6817
S2M350	male	female	S2M350	0.5285	0
S2M400	male	female	S2M400	0.1855	0
S2M450	male	female	S2M450	0.4977	0.3895
S2M1000	male	female	S2M1000	0.4742	0.8521
S2M5000	male	female	S2M5000	0.3981	0.5194
S2M10000	male	female	S2M10000	0.4124	0.5453
S2M100000	male	female	S2M100000	0.4199	0.4874
S2M1000000	male	female	S2M1000000	0.419	0.4842
S3F150	female	male	S3F150	1.3231	0
S3F200	female	male	S3F200	0.6906	0
S3F250	female	male	S3F250	1.4079	0
S3F300	female	male	S3F300	0.8991	0
S3F350	female	male	S3F350	0.6481	0
S3F400	female	male	S3F400	0.9004	0
S3F450	female	male	S3F450	0.8848	0
S3F1000	female	male	S3F1000	0.8415	0
S3F5000	female	male	S3F5000	0.867	0
S3F10000	female	male	S3F10000	0.8233	0
S3F100000	female	male	S3F100000	0.8462	0.0086
S3F1000000	female	male	S3F1000000	0.8497	0.0126
S3M150	male	female	S3M150	0.5363	0
S3M200	male	female	S3M200	0.3556	0
S3M250	male	female	S3M250	0.5809	0
S3M300	male	female	S3M300	0.2504	0
S3M350	male	female	S3M350	0.24	0.9089
S3M400	male	female	S3M400	0.0978	1.8178
S3M450	male	female	S3M450	0.5075	1.0907
S3M1000	male	female	S3M1000	0.512	0.3636
S3M5000	male	female	S3M5000	0.4135	0.3576
S3M10000	male	female	S3M10000	0.3813	0.5364
S3M100000	male	female	S3M100000	0.4206	0.4676
S3M1000000	male	female	S3M1000000	0.4172	0.4864
S4F150	female	male	S4F150	0.3087	0
S4F200	female	male	S4F200	0.7459	0
S4F250	female	male	S4F250	0.8194	0
S4F300	female	male	S4F300	1.387	0
S4F350	female	male	S4F350	1.093	0
S4F400	female	male	S4F400	1.267	0
S4F450	female	male	S4F450	0.7292	0
S4F1000	female	male	S4F1000	0.9367	0
S4F5000	female	male	S4F5000	0.7139	0
S4F10000	female	male	S4F10000	0.8265	0.0147
S4F100000	female	male	S4F100000	0.8499	0.0158
S4F1000000	female	male	S4F1000000	0.8458	0.0127
S4M150	male	female	S4M150	0.2554	0
S4M200	male	female	S4M200	0.6318	0
S4M250	male	female	S4M250	0.6914	0.5453
S4M300	male	female	S4M300	0.5991	0
S4M350	male	female	S4M350	0.5161	0
S4M400	male	female	S4M400	0.0934	1.3633
S4M450	male	female	S4M450	0.8157	0.6817
S4M1000	male	female	S4M1000	0.6206	0.1604
S4M5000	male	female	S4M5000	0.4579	0.4608
S4M10000	male	female	S4M10000	0.4543	0.421
S4M100000	male	female	S4M100000	0.4391	0.4636
S4M1000000	male	female	S4M1000000	0.4173	0.4902
S5F150	female	male	S5F150	0.474	0
S5F200	female	male	S5F200	0.8508	0
S5F250	female	male	S5F250	1.0027	0
S5F300	female	male	S5F300	1.3671	0
S5F350	female	male	S5F350	0.6	0
S5F400	female	male	S5F400	1.3131	0
S5F450	female	male	S5F450	0.8657	0
S5F1000	female	male	S5F1000	1.0447	0
S5F5000	female	male	S5F5000	0.9603	0
S5F10000	female	male	S5F10000	0.7801	0.0308
S5F100000	female	male	S5F100000	0.8451	0.0043
S5F1000000	female	male	S5F1000000	0.8525	0.0133
S5M200	male	female	S5M200	0.2273	1.3633
S5M250	male	female	S5M250	0.3178	0.9089
S5M300	male	female	S5M300	0.1297	1.3633
S5M350	male	female	S5M350	0.3252	0
S5M400	male	female	S5M400	0.3959	0
S5M450	male	female	S5M450	0.249	0.6817
S5M1000	male	female	S5M1000	0.4392	0.7271
S5M5000	male	female	S5M5000	0.4395	0.3775
S5M10000	male	female	S5M10000	0.4561	0.4443
S5M100000	male	female	S5M100000	0.4015	0.4888
S5M1000000	male	female	S5M1000000	0.4212	0.4776
S6F150	female	male	S6F150	0.395	0
S6F200	female	male	S6F200	1.3423	0
S6F250	female	male	S6F250	1.3565	0
S6F300	female	male	S6F300	0.6439	0
S6F350	female	male	S6F350	0.5051	0
S6F400	female	male	S6F400	0.5165	0
S6F450	female	male	S6F450	0.7969	0
S6F1000	female	male	S6F1000	1.2565	0
S6F5000	female	male	S6F5000	0.6759	0.0359
S6F10000	female	male	S6F10000	0.732	0
S6F100000	female	male	S6F100000	0.849	0.0058
S6F1000000	female	male	S6F1000000	0.8414	0.0133
S6M150	male	female	S6M150	0.2851	0
S6M200	male	female	S6M200	0	2.7267
S6M250	male	female	S6M250	0.6496	0.9089
S6M300	male	female	S6M300	0.5185	0
S6M350	male	female	S6M350	0.4282	0.5453
S6M400	male	female	S6M400	0.5078	0
S6M450	male	female	S6M450	1.0084	0.2272
S6M1000	male	female	S6M1000	0.297	0.7436
S6M5000	male	female	S6M5000	0.3229	0.6941
S6M10000	male	female	S6M10000	0.4128	0.4761
S6M100000	male	female	S6M100000	0.4083	0.4689
S6M1000000	male	female	S6M1000000	0.4207	0.4778
S7F150	female	male	S7F150	1.3753	0
S7F200	female	male	S7F200	1.213	0
S7F250	female	male	S7F250	1.4027	0
S7F300	female	male	S7F300	1.1134	0
S7F350	female	male	S7F350	0.5522	0
S7F400	female	male	S7F400	0.411	0.5453
S7F450	female	male	S7F450	1.1288	0
S7F1000	female	male	S7F1000	0.7777	0
S7F5000	female	male	S7F5000	0.834	0
S7F10000	female	male	S7F10000	0.8122	0.0151
S7F100000	female	male	S7F100000	0.8343	0.019
S7F1000000	female	male	S7F1000000	0.8402	0.0125
S7M150	male	female	S7M150	0	2.7267
S7M200	male	female	S7M200	0.9317	0
S7M250	male	female	S7M250	0.6622	0
S7M300	male	female	S7M300	0.5016	0.9089
S7M350	male	female	S7M350	0.8469	0
S7M400	male	female	S7M400	0.319	0
S7M450	male	female	S7M450	0.7202	0
S7M1000	male	female	S7M1000	0.5025	0.1948
S7M5000	male	female	S7M5000	0.4414	0.6059
S7M10000	male	female	S7M10000	0.3772	0.4701
S7M100000	male	female	S7M100000	0.4296	0.4662
S7M1000000	male	female	S7M1000000	0.4212	0.4869
S8F200	female	male	S8F200	0.5012	0
S8F250	female	male	S8F250	0.6858	0
S8F300	female	male	S8F300	1.1012	0
S8F350	female	male	S8F350	1.4125	0
S8F400	female	male	S8F400	1.1808	0
S8F450	female	male	S8F450	1.6099	0
S8F1000	female	male	S8F1000	0.6655	0
S8F5000	female	male	S8F5000	0.8366	0
S8F10000	female	male	S8F10000	0.8547	0
S8F100000	female	male	S8F100000	0.8265	0.0148
S8F1000000	female	male	S8F1000000	0.8489	0.0135
S8M150	male	female	S8M150	0.4578	0
S8M200	male	female	S8M200	0.469	0.6817
S8M300	male	female	S8M300	0.3761	0
S8M350	male	female	S8M350	0.1212	0
S8M400	male	female	S8M400	0.5015	0.7791
S8M450	male	female	S8M450	0.6542	0.3408
S8M1000	male	female	S8M1000	0.7313	0.1435
S8M5000	male	female	S8M5000	0.4679	0.2892
S8M10000	male	female	S8M10000	0.369	0.6034
S8M100000	male	female	S8M100000	0.4336	0.4503
S8M1000000	male	female	S8M1000000	0.4223	0.4697
S9F150	female	male	S9F150	1.2226	0
S9F200	female	male	S9F200	1.151	0
S9F250	female	male	S9F250	1.0067	0
S9F300	female	male	S9F300	0.6791	0
S9F350	female	male	S9F350	0.7426	0
S9F400	female	male	S9F400	1.4281	0
S9F450	female	male	S9F450	0.5811	0
S9F1000	female	male	S9F1000	0.9149	0
S9F5000	female	male	S9F5000	0.902	0
S9F10000	female	male	S9F10000	0.9558	0
S9F100000	female	male	S9F100000	0.8125	0.0164
S9F1000000	female	male	S9F1000000	0.8526	0.0143
S9M150	male	female	S9M150	0.259	1.8178
S9M200	male	female	S9M200	0.2105	0
S9M250	male	female	S9M250	0.2784	1.3633
S9M300	male	female	S9M300	0.3704	0
S9M350	male	female	S9M350	0.4656	0.5453
S9M400	male	female	S9M400	0.5985	0
S9M450	male	female	S9M450	0.1801	0
S9M1000	male	female	S9M1000	0.4	0.2479
S9M5000	male	female	S9M5000	0.4206	0.6817
S9M10000	male	female	S9M10000	0.474	0.3727
S9M100000	male	female	S9M100000	0.4222	0.4937
S9M1000000	male	female	S9M1000000	0.4211	0.4834
S10F150	female	male	S10F150	0.5932	0
S10F200	female	male	S10F200	0.7901	0
S10F250	female	male	S10F250	0.6608	0
S10F300	female	male	S10F300	0.7362	0
S10F350	female	male	S10F350	1.1882	0
S10F400	female	male	S10F400	0.4529	0
S10F450	female	male	S10F450	0.8636	0
S10F1000	female	male	S10F1000	1.0453	0
S10F5000	female	male	S10F5000	0.8703	0.0568
S10F10000	female	male	S10F10000	0.8851	0
S10F100000	female	male	S10F100000	0.8187	0.0163
S10F1000000	female	male	S10F1000000	0.8456	0.013
S10M200	male	female	S10M200	0.423	0.9089
S10M250	male	female	S10M250	0.7286	0
S10M300	male	female	S10M300	0.5922	0
S10M350	male	female	S10M350	0.3446	0
S10M400	male	female	S10M400	0.5745	0.3895
S10M450	male	female	S10M450	0.4599	0
S10M1000	male	female	S10M1000	0.3457	0.839
S10M5000	male	female	S10M5000	0.4403	0.5532
S10M10000	male	female	S10M10000	0.4528	0.5259
S10M100000	male	female	S10M100000	0.4264	0.5036
S10M1000000	male	female	S10M1000000	0.4172	0.4821
S11F150	female	male	S11F150	1.1622	0
S11F200	female	male	S11F200	1.537	0
S11F250	female	male	S11F250	1.4124	0
S11F300	female	male	S11F300	0.8063	0
S11F350	female	male	S11F350	0.7426	0
S11F400	female	male	S11F400	0.7258	0
S11F450	female	male	S11F450	0.8706	0
S11F1000	female	male	S11F1000	0.9433	0
S11F5000	female	male	S11F5000	0.9706	0
S11F10000	female	male	S11F10000	0.7125	0.0169
S11F100000	female	male	S11F100000	0.8698	0.0168
S11F1000000	female	male	S11F1000000	0.8464	0.0126
S11M150	male	female	S11M150	0.247	1.3633
S11M200	male	female	S11M200	0.6285	0
S11M250	male	female	S11M250	0.1609	0
S11M300	male	female	S11M300	0.6036	0
S11M350	male	female	S11M350	0.2103	1.3633
S11M400	male	female	S11M400	0.3208	0.6817
S11M450	male	female	S11M450	0.4136	0.4544
S11M1000	male	female	S11M1000	0.4519	0.2272
S11M5000	male	female	S11M5000	0.3893	0.4159
S11M10000	male	female	S11M10000	0.3935	0.4772
S11M100000	male	female	S11M100000	0.4325	0.4943
S11M1000000	male	female	S11M1000000	0.4228	0.4722
S12F150	female	male	S12F150	0.9469	0
S12F200	female	male	S12F200	0.408	0
S12F250	female	male	S12F250	1.1662	0
S12F300	female	male	S12F300	1.171	0
S12F350	female	male	S12F350	1.0075	0
S12F400	female	male	S12F400	0.8556	0
S12F450	female	male	S12F450	0.8933	0
S12F1000	female	male	S12F1000	0.3871	0
S12F5000	female	male	S12F5000	0.911	0.0267
S12F10000	female	male	S12F10000	0.7918	0.0154
S12F100000	female	male	S12F100000	0.8827	0.0152
S12F1000000	female	male	S12F1000000	0.8382	0.014
S12M150	male	female	S12M150	0.5513	0
S12M200	male	female	S12M200	0.5364	0
S12M250	male	female	S12M250	0.672	0.5453
S12M300	male	female	S12M300	0.6286	0
S12M350	male	female	S12M350	0.7344	0.3408
S12M400	male	female	S12M400	0.1792	1.636
S12M450	male	female	S12M450	0.2545	0.6817
S12M1000	male	female	S12M1000	0.436	0.2272
S12M5000	male	female	S12M5000	0.3718	0.5908
S12M10000	male	female	S12M10000	0.4097	0.4977
S12M100000	male	female	S12M100000	0.4264	0.4873
S12M1000000	male	female	S12M1000000	0.4183	0.4906
S13F150	female	male	S13F150	1.1856	0
S13F200	female	male	S13F200	1.1267	0
S13F250	female	male	S13F250	0.809	0
S13F300	female	male	S13F300	0.4787	0
S13F350	female	male	S13F350	0.8487	0
S13F400	female	male	S13F400	0.9863	0
S13F450	female	male	S13F450	0.6119	0
S13F1000	female	male	S13F1000	1.0348	0
S13F5000	female	male	S13F5000	0.8867	0
S13F10000	female	male	S13F10000	0.839	0
S13F100000	female	male	S13F100000	0.8212	0.0104
S13F1000000	female	male	S13F1000000	0.8335	0.0135
S13M150	male	female	S13M150	0.273	0
S13M200	male	female	S13M200	0	2.7267
S13M250	male	female	S13M250	0.1538	2.045
S13M300	male	female	S13M300	0.1232	1.3633
S13M350	male	female	S13M350	0.5626	0
S13M400	male	female	S13M400	0.5113	0.4544
S13M450	male	female	S13M450	0.4638	0
S13M1000	male	female	S13M1000	0.2847	0.6059
S13M5000	male	female	S13M5000	0.4101	0.3895
S13M10000	male	female	S13M10000	0.3667	0.6135
S13M100000	male	female	S13M100000	0.4378	0.4686
S13M1000000	male	female	S13M1000000	0.4211	0.4858
S14F150	female	male	S14F150	0.4189	0
S14F200	female	male	S14F200	0.6512	0
S14F250	female	male	S14F250	0.852	0
S14F300	female	male	S14F300	0.9658	0
S14F350	female	male	S14F350	0.7489	0
S14F400	female	male	S14F400	0.6405	0
S14F450	female	male	S14F450	0.6193	0
S14F1000	female	male	S14F1000	0.6782	0
S14F5000	female	male	S14F5000	0.8463	0
S14F10000	female	male	S14F10000	0.8049	0.0303
S14F100000	female	male	S14F100000	0.8294	0.0088
S14F1000000	female	male	S14F1000000	0.8388	0.0148
S14M150	male	female	S14M150	0.5623	0
S14M200	male	female	S14M200	0.5507	0
S14M250	male	female	S14M250	0.1495	1.3633
S14M300	male	female	S14M300	0.3024	0
S14M350	male	female	S14M350	0.3001	0.6817
S14M400	male	female	S14M400	0.1943	0.9089
S14M450	male	female	S14M450	0.0813	0
S14M1000	male	female	S14M1000	0.401	0.2272
S14M5000	male	female	S14M5000	0.4283	0.3775
S14M10000	male	female	S14M10000	0.4231	0.4047
S14M100000	male	female	S14M100000	0.4369	0.4441
S14M1000000	male	female	S14M1000000	0.4232	0.4689
S15F150	female	male	S15F150	1.8023	0
S15F200	female	male	S15F200	0.6762	0
S15F250	female	male	S15F250	1.3574	0
S15F300	female	male	S15F300	0.774	0
S15F350	female	male	S15F350	0.5124	0
S15F400	female	male	S15F400	0.5515	0
S15F450	female	male	S15F450	0.7417	0
S15F1000	female	male	S15F1000	1.1663	0
S15F5000	female	male	S15F5000	0.8312	0
S15F10000	female	male	S15F10000	0.8383	0.0144
S15F100000	female	male	S15F100000	0.8623	0.0129
S15F1000000	female	male	S15F1000000	0.8403	0.0142
S15M150	male	female	S15M150	0.2486	0
S15M200	male	female	S15M200	0.1709	0
S15M250	male	female	S15M250	0.474	1.0907
S15M300	male	female	S15M300	0.5302	0
S15M350	male	female	S15M350	0.1166	1.3633
S15M400	male	female	S15M400	0.3893	0.9089
S15M450	male	female	S15M450	0.3633	0.5453
S15M1000	male	female	S15M1000	0.7377	0.1435
S15M5000	male	female	S15M5000	0.3733	0.4621
S15M10000	male	female	S15M10000	0.448	0.4904
S15M100000	male	female	S15M100000	0.4267	0.4677
S15M1000000	male	female	S15M1000000	0.4186	0.4825
S16F150	female	male	S16F150	0.5503	0
S16F200	female	male	S16F200	0.4706	0
S16F250	female	male	S16F250	0.843	0.5453
S16F300	female	male	S16F300	1.1819	0
S16F350	female	male	S16F350	1.3546	0.2479
S16F400	female	male	S16F400	0.8791	0
S16F450	female	male	S16F450	0.9428	0
S16F1000	female	male	S16F1000	0.885	0.1298
S16F5000	female	male	S16F5000	0.9661	0.0496
S16F10000	female	male	S16F10000	1.087	0.0116
S16F100000	female	male	S16F100000	0.8503	0.0129
S16F1000000	female	male	S16F1000000	0.8458	0.0108
S16M150	male	female	S16M150	1.0779	0.5453
S16M200	male	female	S16M200	0.8671	0.5453
S16M250	male	female	S16M250	0.6897	0.5453
S16M300	male	female	S16M300	0.4251	0
S16M350	male	female	S16M350	0.2078	0
S16M400	male	female	S16M400	0.4202	1.1686
S16M450	male	female	S16M450	0.1667	0.9089
S16M1000	male	female	S16M1000	0.3965	0.4544
S16M5000	male	female	S16M5000	0.3801	0.6059
S16M10000	male	female	S16M10000	0.4339	0.349
S16M100000	male	female	S16M100000	0.4315	0.4572
S16M1000000	male	female	S16M1000000	0.4194	0.4757
S17F200	female	male	S17F200	0.7994	0
S17F250	female	male	S17F250	0.8202	0
S17F300	female	male	S17F300	1.1813	0.303
S17F350	female	male	S17F350	0.4255	0
S17F400	female	male	S17F400	0.3414	0
S17F450	female	male	S17F450	0.3785	0
S17F1000	female	male	S17F1000	1.0317	0
S17F5000	female	male	S17F5000	0.7999	0.0313
S17F10000	female	male	S17F10000	0.7388	0.0335
S17F100000	female	male	S17F100000	0.8708	0.0182
S17F1000000	female	male	S17F1000000	0.8516	0.0138
S17M150	male	female	S17M150	0.2524	1.8178
S17M200	male	female	S17M200	0.1865	1.3633
S17M250	male	female	S17M250	0.428	0.6817
S17M300	male	female	S17M300	0.9843	0
S17M350	male	female	S17M350	0.2344	0
S17M400	male	female	S17M400	0.4587	0.4544
S17M450	male	female	S17M450	0.405	0.7791
S17M1000	male	female	S17M1000	0.6874	0.287
S17M5000	male	female	S17M5000	0.4837	0.4856
S17M10000	male	female	S17M10000	0.344	0.5049
S17M100000	male	female	S17M100000	0.4001	0.4725
S17M1000000	male	female	S17M1000000	0.4213	0.4847
S18F150	female	male	S18F150	0.4202	0
S18F200	female	male	S18F200	1.3047	0
S18F250	female	male	S18F250	1.2466	0
S18F300	female	male	S18F300	0.2836	0
S18F350	female	male	S18F350	0.6686	0
S18F400	female	male	S18F400	1.2038	0
S18F450	female	male	S18F450	1.4143	0
S18F1000	female	male	S18F1000	0.9076	0
S18F5000	female	male	S18F5000	0.9236	0
S18F10000	female	male	S18F10000	0.9046	0
S18F100000	female	male	S18F100000	0.8078	0.0136
S18F1000000	female	male	S18F1000000	0.8406	0.0144
S18M200	male	female	S18M200	0.2092	1.3633
S18M250	male	female	S18M250	0.3012	0.9089
S18M300	male	female	S18M300	0.6444	0
S18M350	male	female	S18M350	0.7037	0
S18M400	male	female	S18M400	0.3701	0
S18M450	male	female	S18M450	0.3431	0
S18M1000	male	female	S18M1000	0.3692	0.2479
S18M5000	male	female	S18M5000	0.412	0.5453
S18M10000	male	female	S18M10000	0.4319	0.4884
S18M100000	male	female	S18M100000	0.4189	0.5046
S18M1000000	male	female	S18M1000000	0.4172	0.4809
S19F150	female	male	S19F150	0.3027	0
S19F200	female	male	S19F200	0.7465	0
S19F250	female	male	S19F250	0.5812	0
S19F300	female	male	S19F300	0.998	0
S19F350	female	male	S19F350	0.7529	0
S19F400	female	male	S19F400	0.9832	0
S19F450	female	male	S19F450	1.8244	0
S19F1000	female	male	S19F1000	0.8344	0
S19F5000	female	male	S19F5000	0.9638	0
S19F10000	female	male	S19F10000	0.7718	0
S19F100000	female	male	S19F100000	0.8364	0.0116
S19F1000000	female	male	S19F1000000	0.8537	0.0129
S19M150	male	female	S19M150	0.2694	0
S19M250	male	female	S19M250	0.5741	0.5453
S19M300	male	female	S19M300	0	2.7267
S19M350	male	female	S19M350	0.5494	0.7791
S19M400	male	female	S19M400	0.5324	1.0225
S19M450	male	female	S19M450	0.6074	0.3408
S19M1000	male	female	S19M1000	0.7957	0.1298
S19M5000	male	female	S19M5000	0.3978	0.4159
S19M10000	male	female	S19M10000	0.4118	0.4112
S19M100000	male	female	S19M100000	0.4233	0.5145
S19M1000000	male	female	S19M1000000	0.4159	0.4857
S20F150	female	male	S20F150	0.71	0
S20F200	female	male	S20F200	0.2248	0
S20F250	female	male	S20F250	0.9951	0
S20F300	female	male	S20F300	0.5951	0
S20F350	female	male	S20F350	0.877	0
S20F400	female	male	S20F400	1.0595	0
S20F450	female	male	S20F450	1.3761	0
S20F1000	female	male	S20F1000	0.7832	0
S20F5000	female	male	S20F5000	0.8821	0.0278
S20F10000	female	male	S20F10000	0.8754	0
S20F100000	female	male	S20F100000	0.8208	0.0164
S20F1000000	female	male	S20F1000000	0.8393	0.0144
S20M150	male	female	S20M150	0.2603	0
S20M200	male	female	S20M200	0.3834	1.3633
S20M250	male	female	S20M250	0.334	0
S20M300	male	female	S20M300	0.3755	0.6817
S20M350	male	female	S20M350	0.2315	0
S20M400	male	female	S20M400	0.6882	0.3408
S20M450	male	female	S20M450	0.5387	0.6817
S20M1000	male	female	S20M1000	0.5238	0.1948
S20M5000	male	female	S20M5000	0.3728	0.6817
S20M10000	male	female	S20M10000	0.4056	0.4655
S20M100000	male	female	S20M100000	0.4288	0.4252
S20M1000000	male	female	S20M1000000	0.4175	0.4826
S21F150	female	male	S21F150	1.3734	0
S21F200	female	male	S21F200	0.4393	0
S21F250	female	male	S21F250	0.3099	0
S21F300	female	male	S21F300	0.7525	0
S21F350	female	male	S21F350	0.9732	0
S21F400	female	male	S21F400	0.4413	0
S21F450	female	male	S21F450	0.7607	0.3408
S21F1000	female	male	S21F1000	1.1171	0
S21F5000	female	male	S21F5000	0.8666	0
S21F10000	female	male	S21F10000	0.8129	0.0295
S21F100000	female	male	S21F100000	0.829	0.0029
S21F1000000	female	male	S21F1000000	0.8466	0.0131
S21M150	male	female	S21M150	0.447	0
S21M200	male	female	S21M200	0.7508	0
S21M250	male	female	S21M250	0.3013	0
S21M300	male	female	S21M300	0.6193	0
S21M350	male	female	S21M350	0.1025	1.3633
S21M400	male	female	S21M400	0.1956	0
S21M450	male	female	S21M450	0.2459	0
S21M1000	male	female	S21M1000	0.32	1.0487
S21M5000	male	female	S21M5000	0.4141	0.4544
S21M10000	male	female	S21M10000	0.4325	0.4614
S21M100000	male	female	S21M100000	0.4235	0.4664
S21M1000000	male	female	S21M1000000	0.4174	0.484
S22F150	female	male	S22F150	1.5573	0
S22F200	female	male	S22F200	1.2827	0
S22F250	female	male	S22F250	0.77	0
S22F300	female	male	S22F300	1.3484	0
S22F350	female	male	S22F350	0.1239	0
S22F400	female	male	S22F400	0.5532	0
S22F450	female	male	S22F450	0.7753	0
S22F1000	female	male	S22F1000	0.5036	0
S22F5000	female	male	S22F5000	0.8077	0
S22F10000	female	male	S22F10000	0.7602	0.0313
S22F100000	female	male	S22F100000	0.8723	0.0098
S22F1000000	female	male	S22F1000000	0.85	0.0126
S22M200	male	female	S22M200	0.2	0
S22M250	male	female	S22M250	0.6124	0
S22M300	male	female	S22M300	0.2642	0
S22M350	male	female	S22M350	0.7041	0
S22M400	male	female	S22M400	0.477	0.7791
S22M450	male	female	S22M450	0.3817	0
S22M1000	male	female	S22M1000	0.5368	0.3408
S22M5000	male	female	S22M5000	0.4039	0.4838
S22M10000	male	female	S22M10000	0.349	0.6032
S22M100000	male	female	S22M100000	0.432	0.4503
S22M1000000	male	female	S22M1000000	0.4173	0.4856
S23F150	female	male	S23F150	0.5475	0
S23F200	female	male	S23F200	0.8902	0
S23F250	female	male	S23F250	0.5374	0
S23F300	female	male	S23F300	0.7589	0
S23F350	female	male	S23F350	0.9842	0
S23F400	female	male	S23F400	1.261	0
S23F450	female	male	S23F450	1.0781	0
S23F1000	female	male	S23F1000	0.716	0
S23F5000	female	male	S23F5000	0.9916	0.0491
S23F10000	female	male	S23F10000	0.8915	0
S23F100000	female	male	S23F100000	0.8677	0.0169
S23F1000000	female	male	S23F1000000	0.8564	0.0131
S23M200	male	female	S23M200	0.1952	1.3633
S23M250	male	female	S23M250	0.6373	0
S23M300	male	female	S23M300	0.2538	0
S23M350	male	female	S23M350	0.5671	0.4544
S23M400	male	female	S23M400	0.8427	0.6817
S23M450	male	female	S23M450	0.2462	0
S23M1000	male	female	S23M1000	0.2426	0.6817
S23M5000	male	female	S23M5000	0.4223	0.426
S23M10000	male	female	S23M10000	0.4091	0.562
S23M100000	male	female	S23M100000	0.4176	0.4412
S23M1000000	male	female	S23M1000000	0.4175	0.4837
S24F150	female	male	S24F150	0.8452	0
S24F200	female	male	S24F200	0.8226	0
S24F250	female	male	S24F250	0.5968	0
S24F300	female	male	S24F300	0.9697	0
S24F350	female	male	S24F350	0.7638	0
S24F400	female	male	S24F400	0.7109	0
S24F450	female	male	S24F450	0.5566	0
S24F1000	female	male	S24F1000	0.614	0
S24F5000	female	male	S24F5000	0.8431	0
S24F10000	female	male	S24F10000	0.881	0
S24F100000	female	male	S24F100000	0.8393	0.0159
S24F1000000	female	male	S24F1000000	0.8491	0.0138
S24M150	male	female	S24M150	0.7522	0
S24M200	male	female	S24M200	0.2373	0
S24M250	male	female	S24M250	0.5566	0.5453
S24M300	male	female	S24M300	0.2408	1.636
S24M350	male	female	S24M350	0.3091	0
S24M400	male	female	S24M400	0.2002	0
S24M450	male	female	S24M450	0.6241	0.3408
S24M1000	male	female	S24M1000	0.4046	0.2479
S24M5000	male	female	S24M5000	0.5211	0.3636
S24M10000	male	female	S24M10000	0.4048	0.4938
S24M100000	male	female	S24M100000	0.4167	0.5139
S24M1000000	male	female	S24M1000000	0.4211	0.4812
S25F150	female	male	S25F150	0.5862	0
S25F200	female	male	S25F200	0.8862	0
S25F250	female	male	S25F250	0.9835	0
S25F300	female	male	S25F300	1.5221	0
S25F350	female	male	S25F350	0.7605	0
S25F400	female	male	S25F400	0.9968	0
S25F450	female	male	S25F450	0.2999	0
S25F1000	female	male	S25F1000	0.7283	0
S25F5000	female	male	S25F5000	0.8867	0.0275
S25F10000	female	male	S25F10000	0.7327	0.0165
S25F100000	female	male	S25F100000	0.8055	0.0091
S25F1000000	female	male	S25F1000000	0.8405	0.0131
S25M150	male	female	S25M150	0	2.7267
S25M200	male	female	S25M200	1.1431	0.4544
S25M250	male	female	S25M250	0.4503	0
S25M300	male	female	S25M300	0.1295	1.3633
S25M350	male	female	S25M350	0.4508	0
S25M400	male	female	S25M400	0.3356	0
S25M450	male	female	S25M450	0.5609	0
S25M1000	male	female	S25M1000	0.524	0.1948
S25M5000	male	female	S25M5000	0.4783	0.4856
S25M10000	male	female	S25M10000	0.459	0.5565
S25M100000	male	female	S25M100000	0.4173	0.504
S25M1000000	male	female	S25M1000000	0.4157	0.4845
S26F150	female	male	S26F150	0.2935	0
S26F200	female	male	S26F200	1.0153	0
S26F250	female	male	S26F250	0.9362	0
S26F300	female	male	S26F300	0.2629	0
S26F350	female	male	S26F350	0.8385	0
S26F400	female	male	S26F400	0.7793	0
S26F450	female	male	S26F450	0.7458	0
S26F1000	female	male	S26F1000	0.7868	0
S26F5000	female	male	S26F5000	0.9094	0.0267
S26F10000	female	male	S26F10000	0.858	0.0143
S26F100000	female	male	S26F100000	0.864	0.0142
